poi_category,poi_lat,poi_lon
school,3.084084866062554,101.76251291807485
school,3.0779582928475597,101.77188392106741
school,3.077047840017528,101.77810358473772
school,3.2154965145345296,101.57880568730549
school,2.865872274251033,101.67208988244182
school,3.0752731433742535,101.59118071218366
school,3.024331033419079,101.46601700087714
school,3.0778654969754706,101.65231240451891
school,3.01916738131823,101.45210763328437
school,3.0183358481423146,101.45206048748332
school,3.3607233432528956,101.24592601768671
school,3.131142182776126,101.61596192254709
school,3.0545271649863115,101.75474126898544
school,3.0530597324606012,101.75436608404985
school,3.0529719553980224,101.49148991612142
school,2.994514089436766,101.79041587020919
school,3.0093236467019318,101.42953385316439
school,3.004054755687848,101.44048317105468
school,3.0035909866109667,101.4500357864917
school,3.004734309086841,101.450507507108
school,3.0229671102415647,101.44399657669531
school,3.0104648169726813,101.44850339999498
school,3.015068717754448,101.44572441595771
school,3.0251544470125147,101.70071590880748
school,3.027280826001594,101.69801874690607
school,3.141133623898013,101.61439790260903
school,3.14295866121188,101.61446159934424
school,3.1096482664425427,101.5779848183338
school,2.9117957185157057,101.66419110630444
school,3.331210029513044,101.53793875546164
school,3.0530816500000006,101.48970085
school,2.9930985977638094,101.7965759836216
school,2.926866379968812,101.64729054889504
school,2.9192794968231373,101.63846117559596
school,2.9189527793158203,101.63946936621352
school,3.331484435984735,101.5266503687677
school,3.162890597446637,101.40975983270869
school,3.072341131088144,101.50950032727707
school,3.019655517123278,101.24490562881003
school,3.6787303494196464,100.98378537774701
school,2.9372293008229162,101.7505629312565
school,2.9388235932452766,101.74977517286656
school,3.6612774462021167,101.0048147056246
school,3.6619322306694335,101.00545799371388
school,3.661177499851029,101.005964653749
school,2.931964402294157,101.8656308052613
school,2.922898355358288,101.85962272544042
school,2.657227889602011,101.56673558626329
school,2.6434410857141493,101.66062326506636
school,2.6460767961106204,101.72227147717308
school,2.673112812817556,101.55505713749409
school,3.0646502421561848,101.4594703482361
school,3.143416105313854,101.75183967226232
school,3.009317553876009,101.4287263993834
school,3.039831862413007,101.45107366569236
school,3.0381428790244844,101.44489608700079
